Variable 1,Variable 2,Correlación,Descripción 1,Descripción 2
BIA-BIA_FFM,BIA-BIA_BMR,0.9999999999968424,Fat-Free Mass (Masa Libre de Grasa),Basal Metabolic Rate (Tasa Metabólica Basal)
BIA-BIA_BMR,BIA-BIA_FFM,0.9999999999968424,Basal Metabolic Rate (Tasa Metabólica Basal),Fat-Free Mass (Masa Libre de Grasa)
BIA-BIA_TBW,BIA-BIA_BMR,0.9996028703354595,Total Body Water (Agua Corporal Total),Basal Metabolic Rate (Tasa Metabólica Basal)
BIA-BIA_BMR,BIA-BIA_TBW,0.9996028703354595,Basal Metabolic Rate (Tasa Metabólica Basal),Total Body Water (Agua Corporal Total)
BIA-BIA_FFM,BIA-BIA_TBW,0.9996028591314792,Fat-Free Mass (Masa Libre de Grasa),Total Body Water (Agua Corporal Total)
BIA-BIA_TBW,BIA-BIA_FFM,0.9996028591314792,Total Body Water (Agua Corporal Total),Fat-Free Mass (Masa Libre de Grasa)
BIA-BIA_FFM,BIA-BIA_ECW,0.9991203994248352,Fat-Free Mass (Masa Libre de Grasa),Extracellular Water (Agua Extracelular)
BIA-BIA_ECW,BIA-BIA_FFM,0.9991203994248352,Extracellular Water (Agua Extracelular),Fat-Free Mass (Masa Libre de Grasa)
BIA-BIA_BMR,BIA-BIA_ECW,0.9991203982374887,Basal Metabolic Rate (Tasa Metabólica Basal),Extracellular Water (Agua Extracelular)
BIA-BIA_ECW,BIA-BIA_BMR,0.9991203982374887,Extracellular Water (Agua Extracelular),Basal Metabolic Rate (Tasa Metabólica Basal)
BIA-BIA_TBW,BIA-BIA_ECW,0.9989565480805731,Total Body Water (Agua Corporal Total),Extracellular Water (Agua Extracelular)
BIA-BIA_ECW,BIA-BIA_TBW,0.9989565480805731,Extracellular Water (Agua Extracelular),Total Body Water (Agua Corporal Total)
BIA-BIA_FFM,BIA-BIA_LDM,0.9986212001064763,Fat-Free Mass (Masa Libre de Grasa),Lean Dry Mass (Masa Magra Seca)
BIA-BIA_LDM,BIA-BIA_FFM,0.9986212001064763,Lean Dry Mass (Masa Magra Seca),Fat-Free Mass (Masa Libre de Grasa)
BIA-BIA_LDM,BIA-BIA_BMR,0.9986211720727859,Lean Dry Mass (Masa Magra Seca),Basal Metabolic Rate (Tasa Metabólica Basal)
BIA-BIA_BMR,BIA-BIA_LDM,0.9986211720727859,Basal Metabolic Rate (Tasa Metabólica Basal),Lean Dry Mass (Masa Magra Seca)
BIA-BIA_ICW,BIA-BIA_TBW,0.9982221351330677,Intracellular Water (Agua Intracelular),Total Body Water (Agua Corporal Total)
BIA-BIA_TBW,BIA-BIA_ICW,0.9982221351330677,Total Body Water (Agua Corporal Total),Intracellular Water (Agua Intracelular)
BIA-BIA_ECW,BIA-BIA_LDM,0.99730846292978,Extracellular Water (Agua Extracelular),Lean Dry Mass (Masa Magra Seca)
BIA-BIA_LDM,BIA-BIA_ECW,0.99730846292978,Lean Dry Mass (Masa Magra Seca),Extracellular Water (Agua Extracelular)
